Timestamp (s),Context,Event Name,Event Class,Event Id,Core #,Î” T (s),Parameters
3.535011,"Interrupt14","intEnt-14","Interrupt Events","116","0",---,""
3.535012,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
3.535013,"Interrupt14","[Wake delayed task]","Tick Events","618","0",0.000001,"pTcb=0x622f7980"
3.535013,"Interrupt14","intExit","Interrupt Events","101","0",0,""
3.535015,"Task0","[Exit - Task switch]","Kernel Events","52","0",0.000002,"tid=0x62a99040, priority=210"
3.555018,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020003,""
3.555019,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
3.555019,"Interrupt14","intExit","Interrupt Events","101","0",0,""
3.572119,"Task0","taskSafe","Task Events","10006","0",0.0171,"taskId=0x62a99040, safeCnt=0"
3.572119,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.57212,"Task0","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x00000000, recurse=0"
3.572121,"Task0","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572121,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572121,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x62a99040, recurse=0"
3.572122,"Task0","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572122,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572122,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572122,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572122,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572122,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572122,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572123,"Task0","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572123,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572123,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.572123,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572145,"Task0","semGive","Semaphore Events","10012","0",0.000022,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.572145,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572145,"Task0","taskUnsafe","Task Events","10007","0",0,"taskId=0x62a99040, safeCnt=1"
3.572146,"Task0","taskSafe","Task Events","10006","0",0.000001,"taskId=0x62a99040, safeCnt=0"
3.572146,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.572146,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x00000000, recurse=0"
3.572146,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572146,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572147,"Task0","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de1d0, semOwner=0x62a99040, recurse=0"
3.572147,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572147,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.572147,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572162,"Task0","semGive","Semaphore Events","10012","0",0.000015,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.572162,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572162,"Task0","taskUnsafe","Task Events","10007","0",0,"taskId=0x62a99040, safeCnt=1"
3.572163,"Task0","taskSafe","Task Events","10006","0",0.000001,"taskId=0x62a99040, safeCnt=0"
3.572163,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.572163,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x00000000, recurse=0"
3.572163,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572164,"Task0","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572164,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x62a99040, recurse=0"
3.572164,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572164,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572164,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572164,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572172,"Task0","semTake","Semaphore Events","10015","0",0.000008,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572173,"Task0","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572173,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572173,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572173,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572173,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572173,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572173,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572173,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572174,"Task0","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572174,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572174,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572174,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572174,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572174,"Task0","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572174,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572175,"Task0","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572175,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.572175,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=1"
3.572184,"Task0","semGive","Semaphore Events","10012","0",0.000009,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.572184,"Task0","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99040, recurse=0"
3.572184,"Task0","taskUnsafe","Task Events","10007","0",0,"taskId=0x62a99040, safeCnt=1"
3.572185,"Task0","taskDelay","Task Events","10002","0",0.000001,"ticks=18"
3.572186,"Task0","State change","State Change Events","61","0",0.000001,"taskId=0x62a99040, oldState=Running, newState=Delayed"
3.572186,"idle","[Exit to idle]","Kernel Events","56","0",0,""
3.575116,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.00293,""
3.575118,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.575121,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.59513,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020009,""
3.595132,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.595134,"Interrupt14","intExit","Interrupt Events","101","0",0.000002,""
3.615135,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020001,""
3.615137,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.61514,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.635097,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019957,""
3.635099,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.635101,"Interrupt14","intExit","Interrupt Events","101","0",0.000002,""
3.655114,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020013,""
3.655116,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.655118,"Interrupt14","intExit","Interrupt Events","101","0",0.000002,""
3.675115,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019997,""
3.675117,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.67512,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.695118,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019998,""
3.69512,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.695123,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.715126,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020003,""
3.715128,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.715131,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.735117,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019986,""
3.735119,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.735125,"Interrupt14","[Wake delayed task]","Tick Events","618","0",0.000006,"pTcb=0x622f7980"
3.735125,"Interrupt14","intExit","Interrupt Events","101","0",0,""
3.735135,"idle","[Exit to idle]","Kernel Events","56","0",0.00001,""
3.755128,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019993,""
3.75513,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.755133,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.775115,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019982,""
3.775117,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.77512,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.795127,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020007,""
3.795129,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.795132,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.815115,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019983,""
3.815118,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000003,""
3.81512,"Interrupt14","intExit","Interrupt Events","101","0",0.000002,""
3.835129,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020009,""
3.835132,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000003,""
3.835135,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.855073,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019938,""
3.855075,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.855078,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.875129,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020051,""
3.875131,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.875134,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
3.895092,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019958,""
3.895095,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000003,""
3.8951,"Task1","State change","State Change Events","61","0",0.000005,"taskId=0x62a99350, oldState=Delayed, newState=Ready"
3.8951,"Interrupt14","[Wake delayed task]","Tick Events","618","0",0,"pTcb=0x62a99350"
3.8951,"Interrupt14","intExit","Interrupt Events","101","0",0,""
3.895104,"Task1","[Exit - Task switch]","Kernel Events","52","0",0.000004,"tid=0x62a99350, priority=210"
3.895112,"Task1","taskSafe","Task Events","10006","0",0.000008,"taskId=0x62a99350, safeCnt=0"
3.895113,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.895114,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x00000000, recurse=0"
3.895117,"Task1","semTake","Semaphore Events","10015","0",0.000003,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895118,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895119,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de1d0, semOwner=0x62a99350, recurse=0"
3.89512,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895121,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895121,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895122,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895122,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895122,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895123,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895123,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895124,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895124,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.895124,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895223,"Task1","semGive","Semaphore Events","10012","0",0.000099,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.895224,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895225,"Task1","taskUnsafe","Task Events","10007","0",0.000001,"taskId=0x62a99350, safeCnt=1"
3.895228,"Task1","taskSafe","Task Events","10006","0",0.000003,"taskId=0x62a99350, safeCnt=0"
3.895229,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.895229,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x00000000, recurse=0"
3.89523,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895231,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895231,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x62a99350, recurse=0"
3.895232,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895232,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.895232,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895258,"Task1","semGive","Semaphore Events","10012","0",0.000026,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.895258,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895259,"Task1","taskUnsafe","Task Events","10007","0",0.000001,"taskId=0x62a99350, safeCnt=1"
3.89526,"Task1","taskSafe","Task Events","10006","0",0.000001,"taskId=0x62a99350, safeCnt=0"
3.895261,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.895261,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x00000000, recurse=0"
3.895262,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895262,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895263,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de1d0, semOwner=0x62a99350, recurse=0"
3.895263,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895264,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895264,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895265,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895265,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895266,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895266,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895266,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895267,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895267,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895268,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895268,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895268,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895269,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895269,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.89527,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.89527,"Task1","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.89527,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895271,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895271,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895272,"Task1","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895272,"Task1","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.895273,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=1"
3.895301,"Task1","semGive","Semaphore Events","10012","0",0.000028,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
3.895302,"Task1","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99350, recurse=0"
3.895303,"Task1","taskUnsafe","Task Events","10007","0",0.000001,"taskId=0x62a99350, safeCnt=1"
3.915041,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019738,""
3.915044,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000003,""
3.915048,"Task0","State change","State Change Events","61","0",0.000004,"taskId=0x62a99040, oldState=Delayed, newState=Ready"
3.915048,"Interrupt14","[Wake delayed task]","Tick Events","618","0",0,"pTcb=0x62a99040"
3.915048,"Interrupt14","intExit","Interrupt Events","101","0",0,""
3.935018,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.01997,""
3.93502,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
3.935021,"Interrupt14","[Wake delayed task]","Tick Events","618","0",0.000001,"pTcb=0x622f7980"
3.935021,"Interrupt14","intExit","Interrupt Events","101","0",0,""
3.935029,"Task1","[Exit - Task switch]","Kernel Events","52","0",0.000008,"tid=0x62a99350, priority=210"
3.955019,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.01999,""
3.95502,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
3.955021,"Interrupt14","intExit","Interrupt Events","101","0",0.000001,""
3.975014,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019993,""
3.975015,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
3.975016,"Interrupt14","intExit","Interrupt Events","101","0",0.000001,""
3.995016,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.02,""
3.995017,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
3.995018,"Interrupt14","intExit","Interrupt Events","101","0",0.000001,""
4.01066,"Interrupt77","intEnt-77","Interrupt Events","179","0",0.015642,""
4.010665,"Interrupt77","semGive","Semaphore Events","10012","0",0.000005,"semId=0x601d0de0, semOwner=0x62ad3320, recurse=0"
4.010668,"Interrupt77","intExit","Interrupt Events","101","0",0.000003,""
4.010696,"Task1","[Exit - Task switch]","Kernel Events","52","0",0.000028,"tid=0x62a99350, priority=210"
4.010917,"Interrupt77","intEnt-77","Interrupt Events","179","0",0.000221,""
4.010919,"Interrupt77","semGive","Semaphore Events","10012","0",0.000002,"semId=0x601d0de0, semOwner=0x62ad3320, recurse=0"
4.01092,"Interrupt77","intExit","Interrupt Events","101","0",0.000001,""
4.01093,"Task1","[Exit - Task switch]","Kernel Events","52","0",0.00001,"tid=0x62a99350, priority=210"
4.012427,"Interrupt77","intEnt-77","Interrupt Events","179","0",0.001497,""
4.01243,"Interrupt77","semGive","Semaphore Events","10012","0",0.000003,"semId=0x601d0de0, semOwner=0x62ad3320, recurse=0"
4.012431,"Interrupt77","intExit","Interrupt Events","101","0",0.000001,""
4.012445,"Task1","[Exit - Task switch]","Kernel Events","52","0",0.000014,"tid=0x62a99350, priority=210"
